Font,Color,casual,chic,classic,clear,cool casual,dandy,dynamic,elegant,gorgeous,modern,natural,pretty,romantic
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0625,0.0000,0.0217,0.0000,0.0000,0.0000,0.0189,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0417,0.0182,0.0000,0.0000,0.0000,0.0000,0.0217,0.0000,0.0000,0.0000,0.0000,0.0417
"Pacifico, cursive","Instagram Blue",0.0217,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0217,0.0000,0.0000,0.0000,0.0189,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0189,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0182,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0189,0.0417
"Pacifico, cursive","Instagram Blue",0.0217,0.0000,0.0182,0.0000,0.0172,0.0000,0.0000,0.0217,0.0714,0.0000,0.0000,0.0000,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0417,0.0182,0.0000,0.0172,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0189,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0377,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0189,0.0000
"Tangerine, cursive","Pinterest Red",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Tangerine, cursive","Pinterest Red",0.0217,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0189,0.0000
"Tangerine, cursive","Pinterest Red",0.0217,0.0000,0.0182,0.0149,0.0000,0.0000,0.0000,0.0217,0.0000,0.0169,0.0000,0.0189,0.0417
"Tangerine, cursive","Pinterest Red",0.0000,0.0417,0.0000,0.0149,0.0000,0.0000,0.0000,0.0217,0.0714,0.0169,0.0000,0.0189,0.0417
"Tangerine, cursive","Pinterest Red",0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.0400,0.0217,0.0000,0.0000,0.0000,0.0189,0.0000
"Tangerine, cursive","Pinterest Red",0.0000,0.0000,0.0000,0.0149,0.0000,0.0625,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Tangerine, cursive","Pinterest Red",0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0435,0.0714,0.0000,0.0000,0.0189,0.0833
"Tangerine, cursive","Pinterest Red",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Tangerine, cursive","Pinterest Red",0.0000,0.0000,0.0000,0.0000,0.0000,0.0625,0.0000,0.0217,0.0714,0.0000,0.0000,0.0189,0.0417
"Tangerine, cursive","Pinterest Red",0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0435,0.0000,0.0169,0.0000,0.0000,0.0000
"Tangerine, cursive","Pinterest Red",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Tangerine, cursive","Pinterest Red",0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Tangerine, cursive","Pinterest Red",0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0217,0.0000,0.0000,0.0000,0.0189,0.0000
"Tangerine, cursive","Pinterest Red",0.0000,0.0000,0.0182,0.0000,0.0000,0.0625,0.0000,0.0217,0.0000,0.0000,0.0000,0.0189,0.0833
"Tangerine, cursive","Pinterest Red",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Tangerine, cursive","Pinterest Red",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Tangerine, cursive","Pinterest Red",0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0217,0.0000,0.0169,0.0000,0.0189,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0370,0.0000,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0217,0.0417,0.0000,0.0000,0.0172,0.0000,0.0400,0.0000,0.0714,0.0169,0.0000,0.0189,0.0417
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0217,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0370,0.0000,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0435,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0189,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0217,0.0000,0.0000,0.0000,0.0000,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0217,0.0417,0.0000,0.0149,0.0172,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0189,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0714,0.0000,0.0000,0.0000,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Waiting for the Sunrise, cursive","Snapchat Yellow",0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0217,0.0000,0.0000,0.0149,0.0172,0.0000,0.0000,0.0000,0.0000,0.0339,0.0370,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0182,0.0149,0.0000,0.0000,0.0000,0.0217,0.0000,0.0169,0.0370,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0182,0.0299,0.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0000,0.0299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0217,0.0000,0.0000,0.0149,0.0172,0.0000,0.0400,0.0000,0.0000,0.0339,0.0000,0.0189,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0000,0.0299,0.0345,0.0000,0.0000,0.0000,0.0000,0.0339,0.0000,0.0000,0.0000
"Inconsolata","Flickr Pink",0.0000,0.0000,0.0000,0.0149,0.0345,0.0000,0.0000,0.0000,0.0000,0.0169,0.0370,0.0000,0.0000
"Lobster, cursive","Vimeo Green",0.0000,0.0000,0.0182,0.0149,0.0000,0.0000,0.0000,0.0000,0.0714,0.0169,0.0370,0.0189,0.0000
"Lobster, cursive","Vimeo Green",0.0000,0.0417,0.0182,0.0149,0.0172,0.1250,0.0400,0.0217,0.0000,0.0169,0.0000,0.0000,0.0000
"Lobster, cursive","Vimeo Green",0.0000,0.0417,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0377,0.0000
"Lobster, cursive","Vimeo Green",0.0217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0189,0.0417
"Lobster, cursive","Vimeo Green",0.0000,0.0000,0.0000,0.0000,0.0000,0.0625,0.0400,0.0435,0.0000,0.0000,0.0000,0.0189,0.0417
"Lobster, cursive","Vimeo Green",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0217,0.0714,0.0169,0.0000,0.0189,0.0833
"Lobster, cursive","Vimeo Green",0.0000,0.0000,0.0000,0.0149,0.0172,0.0000,0.0000,0.0217,0.0000,0.0339,0.0370,0.0000,0.0000
"Lobster, cursive","Vimeo Green",0.0217,0.0000,0.0000,0.0000,0.0000,0.0625,0.0000,0.0217,0.0000,0.0000,0.0000,0.0000,0.0000
"Lobster, cursive","Vimeo Green",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Lobster, cursive","Vimeo Green",0.0000,0.0000,0.0364,0.0149,0.0000,0.0000,0.0000,0.0217,0.0000,0.0000,0.0370,0.0189,0.0000
"Lobster, cursive","Vimeo Green",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Lobster, cursive","Vimeo Green",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Lobster, cursive","Vimeo Green",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Lobster, cursive","Vimeo Green",0.0000,0.0417,0.0000,0.0149,0.0000,0.0000,0.0000,0.0217,0.0000,0.0000,0.0000,0.0189,0.0417
"Lobster, cursive","Vimeo Green",0.0000,0.0417,0.0000,0.0149,0.0000,0.0000,0.0000,0.0217,0.0000,0.0169,0.0370,0.0189,0.0000
"Lobster, cursive","Vimeo Green",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Lobster, cursive","Vimeo Green",0.0000,0.0000,0.0182,0.0149,0.0000,0.0000,0.0000,0.0217,0.0000,0.0000,0.0000,0.0189,0.0417
"Monoton, cursive","Facebook Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0000,0.0417,0.0000,0.0000,0.0345,0.0000,0.0000,0.0000,0.0000,0.0339,0.0000,0.0189,0.0000
"Monoton, cursive","Facebook Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0625,0.0400,0.0000,0.0000,0.0508,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0217,0.0417,0.0182,0.0149,0.0172,0.0000,0.0000,0.0217,0.0000,0.0169,0.0000,0.0189,0.0000
"Monoton, cursive","Facebook Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0000,0.0000,0.0000,0.0000,0.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0217,0.0000,0.0000,0.0000,0.0172,0.0000,0.0400,0.0000,0.0000,0.0339,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0400,0.0000,0.0000,0.0339,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0000,0.0000,0.0000,0.0000,0.0345,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Monoton, cursive","Facebook Blue",0.0217,0.0417,0.0182,0.0149,0.0172,0.0000,0.0400,0.0000,0.0000,0.0339,0.0000,0.0189,0.0000
